ModbusId,UnitName,UnitId,FunctionGroup,FunctionNumber,DatapointId,DatapointName,Type,TypeName,Decimal,FunctionGroup name,Function name,Steps,Min. value,Max. value,Writable,unit,Commentary,Text 0,Text 1,Text 2,Text 3,Text 4,Text 5,Text 6,Text 7,Text 8,Text 9,Text 10,Text 11,Text 12,Text 13,Text 14,Text 15,Text 16,Text 17,Text 18,Text 19,Text 20,Text 21,Text 22,Text 23,Text 24,Text 25,Text 26,Text 27,Text 28,Text 29,Text 30,Text 31
92,SOL,66,22,0,2032,Betriebsstunden PS Pumpe Solar,1,U16,0,Kollektor,Kollektor 1,1,0,65535,No,h,"Unter 81 Zuruecksetzen der Betriebsstunden (nur aenderung auf ""0"" moeglich)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,SOL,66,22,1,2032,Betriebsstunden PS Pumpe Solar,1,U16,0,Kollektor,Kollektor 2,1,0,65535,No,h,"Unter 81 Zuruecksetzen der Betriebsstunden (nur aenderung auf ""0"" moeglich)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,SOL,66,22,0,2034,Gesamtertrag Kollektor_high,2,S32,0,Kollektor,Kollektor 1,1,0,0,No,kWh,Gesamtertrag Kollektor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,SOL,66,22,0,2034,Gesamtertrag Kollektor_low,1,S32,0,Kollektor,Kollektor 1,1,0,0,No,kWh,Gesamtertrag Kollektor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,SOL,66,22,0,2030,Kollektorleistung aktuell,1,S16,1,Kollektor,Kollektor 1,1,0,32767,No,kW,Kollektorleistung aktuell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,SOL,66,0,0,23084,Relaistest aktivieren,1,U8,0,Allgemein,Allgemein,1,0,1,Yes,,Relaistest aktivieren#0=AUS#1=EIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,SOL,66,0,0,21036,VA1 HW-Ausgang,1,U8,0,Allgemein,Allgemein,1,0,1,Yes,,Status Ausgang / Aktivierung 0=AUS 1=EIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,SOL,66,0,0,21037,VA2 HW-Ausgang,1,U8,0,Allgemein,Allgemein,1,0,1,Yes,,Status Ausgang / Aktivierung 0=AUS 1=EIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,SOL,66,0,0,21038,VA3 HW-Ausgang,1,U8,0,Allgemein,Allgemein,1,0,1,Yes,,Status Ausgang / Aktivierung 0=AUS 1=EIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,SOL,66,0,0,21039,VA1-FE1 HW-Ausgang,1,U8,0,Allgemein,Allgemein,1,0,1,Yes,,Status Ausgang / Aktivierung 0=AUS 1=EIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
