Register Address,UnitName,UnitId,FunctionGroup,FunctionNumber,DatapointId,DatapointName,Type,TypeName,Decimal,FunctionGroup name,Function name,Steps,Min. value,Max. value,Writable,unit,Commentary,Text 0,Text 1,Text 2,Text 3,Text 4,Text 5,Text 6,Text 7,Text 8,Text 9,Text 10,Text 11,Text 12,Text 13,Text 14,Text 15,Text 16,Text 17,Text 18,Text 19,Text 20,Text 21,Text 22,Text 23,Text 24,Text 25,Text 26,Text 27,Text 28,Text 29,Text 30,Text 31
106,SOL,66,0,0,21045,VA3-FE2 output,1,U8,0,General,General,1,0,1,Yes,,Output status / activation 0=OFF 1=ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,SOL,66,0,0,21078,VA10V/PWM output,1,U8,0,General,General,5,0,100,Yes,%,"Status output / activation 0-100% (5% steps, 0-10V output must be config.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,SOL,66,0,0,21079, VA10V/PWM-FE1 output,1,U8,0,General,General,5,0,100,Yes,%,"Status output / activation 0-100% (5% steps, 0-10V output must be config.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,SOL,66,0,0,21080, VA10V/PWM-FE2 output,1,U8,0,General,General,5,0,100,Yes,%,"Status output / activation 0-100% (5% steps, 0-10V output must be config.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,SOL,66,0,0,29042,Active error 1_appearance_time,3,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,SOL,66,0,0,29042,Active error 1_appearance_date,4,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,SOL,66,0,0,29042,Active error 1_disappear_time,5,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,SOL,66,0,0,29042,Active error 1_disappear_date,6,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,SOL,66,0,0,29042,Active error 1_source,7,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,SOL,66,0,0,29042,Active error 1_function_group,8,U8,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,SOL,66,0,0,29042,Active error 1_function_number,9,U8,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,SOL,66,0,0,29042,Active error 1_error_type,10,U8,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,SOL,66,0,0,29042,Active error 1_error_code,11,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,SOL,66,0,0,29043,Active error 2_appearance_time,3,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,SOL,66,0,0,29043,Active error 2_appearance_date,4,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,SOL,66,0,0,29043,Active error 2_disappear_time,5,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,SOL,66,0,0,29043,Active error 2_disappear_date,6,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,SOL,66,0,0,29043,Active error 2_source,7,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,SOL,66,0,0,29043,Active error 2_function_group,8,U8,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,SOL,66,0,0,29043,Active error 2_function_number,9,U8,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,SOL,66,0,0,29043,Active error 2_error_type,10,U8,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,SOL,66,0,0,29043,Active error 2_error_code,11,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,SOL,66,0,0,29044,Active error 3_appearance_time,3,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,SOL,66,0,0,29044,Active error 3_appearance_date,4,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,SOL,66,0,0,29044,Active error 3_disappear_time,5,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,SOL,66,0,0,29044,Active error 3_disappear_date,6,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,SOL,66,0,0,29044,Active error 3_source,7,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,SOL,66,0,0,29044,Active error 3_function_group,8,U8,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,SOL,66,0,0,29044,Active error 3_function_number,9,U8,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,SOL,66,0,0,29044,Active error 3_error_type,10,U8,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,SOL,66,0,0,29044,Active error 3_error_code,11,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,SOL,66,0,0,29045,Active error 4_appearance_time,3,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,SOL,66,0,0,29045,Active error 4_appearance_date,4,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,SOL,66,0,0,29045,Active error 4_disappear_time,5,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,SOL,66,0,0,29045,Active error 4_disappear_date,6,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,SOL,66,0,0,29045,Active error 4_source,7,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,SOL,66,0,0,29045,Active error 4_function_group,8,U8,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,SOL,66,0,0,29045,Active error 4_function_number,9,U8,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,SOL,66,0,0,29045,Active error 4_error_type,10,U8,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,SOL,66,0,0,29045,Active error 4_error_code,11,U16,0,General,General,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
